privilege_name,icd_cpt_code,specialty,subspecialty,description,qualifications,competency,include_in_all_locations
Cardiac Catheterization,93451,Cardiology,Interventional Cardiology,Diagnostic cardiac catheterization procedure for evaluation of coronary artery disease and cardiac function,Board certification in Cardiology with fellowship training in Interventional Cardiology. Minimum 2 years experience in cardiac catheterization laboratory,Demonstrated proficiency in cardiac catheterization techniques including coronary angiography and hemodynamic assessment. Current ACLS certification required,Y
Laparoscopic Surgery,44970,Surgery|General Surgery,Minimally Invasive Surgery|Bariatric Surgery,Advanced laparoscopic surgical procedures including complex abdominal operations,Board certification in General Surgery with advanced laparoscopic training. Fellowship in minimally invasive surgery preferred,Completion of advanced laparoscopic surgery course with hands-on simulation training. Minimum 50 supervised laparoscopic cases,Y
Emergency Intubation,31500,Emergency Medicine|Anesthesiology,Critical Care|Emergency Medicine,Endotracheal intubation in emergency and critical care settings,Board certification in Emergency Medicine or Anesthesiology. ACLS and PALS certification required,Demonstrated competency in airway management including difficult airway scenarios. Annual skills verification required,N
Pediatric Sedation,99144,Pediatrics|Anesthesiology,Pediatric Critical Care,Conscious sedation for pediatric patients during diagnostic and therapeutic procedures,Board certification in Pediatrics with PALS certification. Sedation training program completion,Pediatric Advanced Life Support certification. Demonstrated competency in pediatric airway management and emergency response,Y
Orthopedic Surgery - Spine,22612,Orthopedics,Spine Surgery,Complex spinal fusion and decompression procedures,Board certification in Orthopedic Surgery with fellowship training in Spine Surgery,Completion of spine surgery fellowship with minimum 100 supervised spinal fusion procedures. Ongoing CME in spine surgery techniques,Y
Dermatologic Surgery,17311,Dermatology,Dermatopathology|Mohs Surgery,Surgical treatment of skin cancers and complex dermatologic conditions,Board certification in Dermatology. Fellowship training in dermatopathology or Mohs surgery preferred,Demonstrated surgical competency with minimum 200 supervised dermatologic surgical procedures. Pathology correlation experience,N
Neurological Monitoring,95920,Neurology,Epilepsy|Sleep Medicine,Continuous EEG monitoring and interpretation for neurological conditions,Board certification in Neurology with subspecialty training in epilepsy or sleep medicine,Completion of neurophysiology fellowship with demonstrated competency in EEG interpretation. Annual competency assessment required,Y
Gastroenterology Endoscopy,45378,Gastroenterology,Interventional Endoscopy,Diagnostic and therapeutic endoscopic procedures of the gastrointestinal tract,Board certification in Gastroenterology with advanced endoscopy training,Completion of advanced endoscopy fellowship. Minimum 500 supervised endoscopic procedures with outcomes tracking,Y
Duplicate Code Test,93451,Cardiology,Nuclear Cardiology,Testing duplicate ICD/CPT code validation - should trigger warning,Valid qualifications for testing purposes,Valid competency requirements for testing,N
Invalid Specialty Test,12345,InvalidSpecialty,TestSubspecialty,Testing specialty validation with non-standard specialty name,Testing qualifications field with standard content,Testing competency field validation,Y
Character Limit Test - Privilege Name That Exceeds One Hundred Characters And Should Trigger Validation Error,99999,Emergency Medicine,,Testing character limits for privilege name field that exceeds the maximum allowed length of 100 characters,Testing description field that is within the 10000 character limit but contains comprehensive information about qualifications requirements including board certifications and training programs,Testing competency field validation with detailed requirements and assessment criteria that should remain within acceptable limits,N
,CPT001,Cardiology,Interventional,Testing missing privilege name (still required),Valid qualifications,Valid competency,Y
Valid Privilege Without Code,,Subspecialty Only,Subspecialty Only,Testing optional ICD/CPT code field,Standard qualifications,Standard competency,N
Valid Privilege Without Specialty,CODE001,,General Practice,Testing optional specialty field,Standard qualifications,Standard competency,Y
Valid Privilege Minimal Data,,,,,,,N
Pipe Delimited Test,77777,Cardiology|Emergency Medicine|Internal Medicine,Critical Care|Interventional Cardiology|Emergency Medicine,Testing multiple pipe-delimited specialties and subspecialties to ensure proper parsing and validation,Comprehensive qualifications covering multiple specialty areas with cross-training requirements,Multi-specialty competency requirements with ongoing education and assessment protocols,Y
